Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
650,"Radarberendezésen, fordulási szögsebességet jelzõ készüléken és hajó-hajó csatornán mûködõ rádiótelefon-berendezésen kívül, mi szükséges ahhoz, hogy egy hajó tavon radarral hajózó legyen a Szabályzat II. része alapján?",Kiegyenlített (kompenzált) és üzemképes hajótájolót vagy ezt helyettesítõ a hajózási hatóság által elfogadott berendezést is üzemeltetni kell.,"ECDIS készüléket, valamint fordulási szögsebességet jelzõ készüléket is kell üzemeltetni.",Megfelelõ minõségû hajótájolót is üzemeltetni kell.,,1
651,"Mit értünk egy hajó, kishajó, csónak, úszó testek kötelékét és az úszómû vonatkozásában veszteglés alatt?","Ha azok a közvetlenül a parthoz, stéghez vagy úszómûhöz kikötve állnak.","Ha azok közvetlenül vagy egyéb módon horgonyon vagy a parthoz, stéghez vagy úszómûhöz kikötve állnak.",Ha azok más úszó létesítményhez képest állnak.,,2
652,Mit jelöl a hajón látható fehér fény? A fehér fény,veszteglõ hajót jelöl.,egy menetben lévõ géphajó árbocfénye.,"azt jelzi, hogy a veszteglõ hajó horgonya a hajózást veszélyezteti.",xxx-3700.jpg,1
653,Mit jelez a hajón látható fekete gömb?,Nyílt helyen veszteglõ magányos hajó nappali jelzése.,Manõverképességében korlátozott hajó nappali jelzése.,Mûveletképtelen hajó nappali jelzése.,xxx-2207.jpg,1
654,Hogyan kell megjelölni egy nyílt helyen veszteglõ kishajót éjszaka?,Egy minden oldalról látható fehér fénnyel.,Nem kell jelzést viselnie.,A hajó elején és végén egy-egy minden oldalról látható fehér fénnyel.,xxx-0024.jpg,1
655,Hogyan kell megjelölni nappal a nyílt helyen veszteglõ kishajót?,Egy fekete gömbbel.,Egy csúcsával lefelé mutató fekete kúppal.,Egy sárga kettõskúppal.,xxx-0025.jpg,1
656,Milyen körülmények között nem kötelezõ a veszteglésre utaló jelzés(ek) elhelyezése a kishajón? Ha a kishajó,part mellett vesztegel.,"olyan víziúton vesztegel, amelyen a hajózást korlátozták, vagy a partról kellõen meg van világítva.",éjszaka nyílt helyen vesztegel.,,1
657,Milyen körülmények között nem kötelezõ a veszteglésre utaló jelzés(ek) elhelyezése a kishajón? Ha a kishajó,"olyan víziúton vesztegel, amelyen a hajózás ideiglenesen nem lehetséges vagy tilos.",a hajóúton nyilvánvalóan veszélytelen helyzetben vagy partközelben vesztegel.,a mindenkori part éltõl 25 méter távolságon belül vesztegel.,,1
658,Milyen körülmények között nem kötelezõ a veszteglésre utaló jelzés(ek) elhelyezése a kishajón? Ha a kishajó,hajóút közelében vesztegel.,part mellett vesztegel és a partról kellõen meg van világítva.,"olyan víziúton vesztegel, amelyen a hajózást korlátozták.",,2
659,Milyen körülmények között nem kötelezõ a veszteglésre utaló jelzés(ek) elhelyezése a kishajón? Ha a kishajó,veszteglõhelyen vesztegel.,hajóúton kívül nyilvánvalóan veszélytelen helyzetben vesztegel.,"olyan víziúton vesztegel, amelyen a hajózást korlátozták.",,2
660,Milyen veszteglõ hajót jelöl a rajta látható csúcsával lefelé nézõ kék kúp? Nyilvánvalóan veszélytelen helyzetben veszteglõ,gyúlékony árut szállító hajó.,robbanásveszélyes árut szállító hajó.,egészségre ártalmas árut szállító hajó.,xxx-3732.jpg,1
661,Milyen veszteglõ hajót jelölnek a rajta látható fények?,Nyílt helyen veszteglõ gyúlékony árut szállító hajó.,Nyilvánvalóan veszélytelen helyen veszteglõ gyúlékony árut szállító hajó.,Nyílt helyen veszteglõ robbanásveszélyes árut szállító hajó.,xxx-3704.jpg,1
662,Milyen hajót jelölnek a rajta látható jelzõtestek (fekete gömb és kék kúp)?,Ereszkedõ gyúlékony árut szállító hajó.,Nyílt helyen veszteglõ egészségre ártalmas árut szállító hajó.,Nyílt helyen veszteglõ gyúlékony árut szállító hajó.,xxx-3708.jpg,3
663,"Nem állóvízen, hogyan jelölik éjszaka a veszteglõ hajó (halászati tevékenységhez használt) hálóit vagy cölöpjeit, ha azokat a hajóútban vagy annak közvetlen közelében helyezték ki?",Kellõ számú minden oldalról látható zöld fénnyel.,"A helyük felismeréséhez elegendõ számú, minden oldalról látható fehér fénnyel.","Kellõ számú, minden oldalról látható szokásos (egymást követõ) vörös és fehér fényekkel.",teszt-0050.jpg,2
664,"Állóvízen, hogyan jelölik éjszaka a veszteglõ hajó (halászati tevékenységhez használt) hálóit vagy cölöpjeit, ha azokat a hajóútban vagy annak közvetlen közelében helyezték ki?",Kellõ számú minden oldalról látható villogó vörös fénnyel.,"A helyük felismeréséhez elegendõ számú, minden oldalról látható villogó fehér fénnyel.","A helyük felismeréséhez elegendõ számú, minden oldalról látható fehér fénnyel.",teszt-0051.jpg,2
665,"Hogyan jelölik nappal a veszteglõ hajó hálóit vagy cölöpjeit, ha azokat a hajóútban vagy annak közvetlen közelében vannak kihelyezve? Helyük felismeréséhez elegendõ számú",sárga úszókkal vagy sárga zászlókkal.,vörös úszókkal vagy vörös zászlókkal.,zöld úszókkal vagy zöld zászlókkal.,teszt-0054.jpg,1
666,"Mire következtet, ha egy veszteglõ hajó környezetében radarreflektorral felszerelt sárga úszót lát?",A nyílt helyen veszteglõ hajó horgonya a hajózást veszélyezteti.,"A jelzések olyan halászati tevékenységet végzõ hajót jelölnek, melynek halászati eszköze a hajózást akadályozza.","A jelzések a hajóútban mérést, szondázást végzõ hajót jelölnek.",xxx-3630.jpg,1
667,"Milyen úszólétesítmény jelenlétére következtet, ha azon az ábrán látható fényeket észleli?","A fények olyan veszteglõ hajót jelölnek, amelynek horgonya, kötele, horgonylánca úgy van kihelyezve, hogy az a hajózást veszélyeztetheti.","A fények olyan veszteglõ hajót jelölnek, amely munkát (szondázást, mérést) végez.",A fények egy hullámzás elleni védelemre szoruló veszteglõ hajót jelölnek.,xxx-3722.jpg,1
668,Milyen hajót lát az ábrán?,Veszélyes árut szállító veszteglõ hajó.,Hullámzás elleni védelemre szoruló veszteglõ hajó.,"Menetben lévõ, keresztezõ irányban haladó hajó.",xxx-3727.jpg,2
669,"Milyen hajó jelenlétére következtet, ha azon az ábrán látható jelzéseket észleli? Hogyan hajózik el mellette? Nyílt helyen veszteglõ",manõverképességében korlátozott hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldalon lehetséges.,hullámzás elleni védelemre szoruló hajó. Az elhajózás mindkét oldalon lehetséges.,kormányképtelen hajó. Az elhajózás a vörös-fehér lobogóval/táblával jelzett oldallal ellentétes oldalon lehetséges.,teszt-0100.jpg,2
670,Kishajóval vesztegelni készül. A veszteglõhely kiválasztásánál milyen szempontokat kell figyelembe vennie az alábbiak közül? A Szabályzat más rendelkezéseinek megtartásával,"a parthoz olyan közel kell kiválasztani a veszteglõhelyet, amennyire azt a kishajó merülése, illetõleg a helyi viszonyok lehetõvé teszik és a hajózást nem fogja akadályozni.","a hajóút széléhez olyan közel kell kiválasztani a veszteglõhelyet, amennyire azt a kishajó merülése, illetõleg a helyi viszonyok lehetõvé teszik, de a hajózást még nem fogja akadályozza.","kishajóval közvetlenül vagy közvetve a parthoz kell kikötni úgy, hogy a hajózást ne akadályozza.",,1
671,Kishajóval vesztegelni készül. A veszteglõhely kiválasztásánál milyen szempontokat kell figyelembe vennie az alábbiak közül? A kishajót,"a folyás, a szél, a más hajó által kiváltott szívóhatás és a hullámkeltés figyelembe vételével kellõen szilárdan kell lehorgonyozni vagy kikötni, úgy hogy más hajót ne veszélyeztessen, vagy ne zavarjon.","úgy kell lehorgonyozni vagy kikötni, hogy a vízállás változása azt ne veszélyeztesse.","az áramlás, a szél, a hullámkeltés és a más hajó által kiváltott szívóhatás figyelembevételével a parttól távol kell lehorgonyozni.",,1
672,Vesztegelhet-e a táblák hatálya alá tartozó vízterületen?,Igen.,Nem.,"Kishajónak nem tekinthetõ hajó nem, de kishajó igen.",teszt-0171.jpg,2
673,Vesztegelhet-e a tábla hatálya alá tartozó vízterületen?,Igen.,Nem.,"Kishajónak nem tekinthetõ hajó nem, de kishajó igen.",teszt-0308.jpg,2
674,Kishajóval vesztegelni készül. A veszteglõhely kiválasztásánál milyen szempontokat kell figyelembe vennie az alábbiak közül? Kikötéshez,"csak a parton fixen beépített kikötõeszközöket szabad használni, ha olyan nincs tilos kikötni.","csak egészséges, legalább 50 cm átmérõjû élõ fát, valamint megfelelõ szilárdságú mûtárgyat (mellvéd, oszlop, fémlépcsõ, stb.) szabad használni.","élõ fát, mellvédet, oszlopot, kilométerkövet, fémlépcsõt vagy korlátot használni tilos!",,3
675,Milyen elõírás vonatkozik az ábrán látható (egy kék kúpot viselõ) hajó közelében történõ veszteglésre? Gyúlékony árut szállít ezért veszteglés során legalább,10 méter távolságot kell tõle tartani a nem veszélyes árut szállító hajónak.,25 méter távolságot kell tõle tartani minden hajónak.,5 méter távolságot kell tõle tartani minden más veszélyes árut szállító hajónak.,xxx-3732.jpg,1
676,"Válassza ki, hogy az ábrán látható jelzõtestek közül melyiket és mennyit kell elhelyezni nappal egy nyílt helyen veszteglõ kishajón?",1 db 3-as fekete gömböt.,1 db 4-es sárga kettõskúpot.,1 db 1-es fehér gömböt.,zzz-0171.jpg,1
677,Milyen elõírás vonatkozik vízi jármûvek kikötõn kívüli veszteglésére a Balatonon az alábbiak közül?,Vízi jármû kikötõn kívül a nádas állományának károsítása nélkül vesztegelhet.,Vízi jármû kikötõn kívül csak a parttól számított 50 méteren belül vesztegelhet.,Vízi jármû kikötõn kívül korlátozás nélkül vesztegelhet.,,1
678,Válassza ki a kompra vonatkozó meghatározást!,20 m-nél hosszabb és az átkelésre célszerûen kialakított vízijármû.,A közúti forgalomnak a víziutakon történõ átvezetésére alkalmas úszólétesítmény.,"Víziúton való átkelésre szolgáló hajó, amelyet az illetékes hatóság kompnak minõsített.",,3
679,Mit értünk az alacsonyvezetésû köteles komp alatt?,A vízfelszín fölé alacsonyan belógó nem mozgatható kötelû komp.,A vízfelszín alatt kis mélységben átvezetett kötelû komp.,A vízfelszín felett kis magasságban átvezetett kötelû komp.,xxx-1702.jpg,3
680,"Mit értünk mélyvezetésû köteles kompon a Szabályzat II. része alapján? Olyan köteles komp, amelynek vezetõkötele",vízfelszín alatt a mederfenéken van átvezetve.,vízállásváltozást követõ magasságban van átvezetve.,"a vízfelszín alatt olyan mélységben van átvezetve, hogy a víziúton hajózó legnagyobb merülésû hajó már nem tud hajózni.",,1
681,"Válassza ki, hogy milyen nappali jelzést kell viselniük a menetben lévõ kompoknak?",1 db 1-es fehér gömböt.,1 db 2-es fekete gömböt.,1 db 3-as zöld gömböt.,xxx-0652.jpg,3
682,Milyen úszó létesítmény jelenlétére számít a képen látható fényeket észlelve?,Menetben lévõ vagy rövid ideig veszteglõ szabadon közlekedõ komp.,Menetben lévõ köteles komp.,"Olyan szabadon közlekedõ komp, amely veszélyben van, segítséget kér.",xxx-0712.jpg,1
683,"Milyen hangjelzéssel kérheti köteles komp átkelõhelyéhez érkezve a hajóút felszabadítását, az alacsonyvezetésû kompkötél leeresztését?",Ismételt hosszú hangjellel.,Nagyon rövid hangsorozattal.,Hosszú-rövid-hosszú hangjelzésekkel.,xxx-0666.jpg,1
684,"Válassza ki, milyen fényjelzéssel jelzik egy alacsonyvezetésû köteles komp kötelének kifeszített állapotát?",Erõs villogó sárga fénnyel.,Erõs villogó vörös fénnyel.,Erõs villogó kék fénnyel.,xxx-0664.jpg,1
685,Mit jelez a kompon látható fehér zászló vagy tábla?,"A fehér zászló, vagy tábla az alacsonyvezetésû komp vezetõkötelének leeresztett állapotát jelzi.","A fehér zászló, vagy tábla azt jelzi, hogy a komp nem üzemel.","A fehér zászló, vagy tábla a komp átkelési irányát jelzi.",xxx-0656.jpg,1
686,Hogyan jelezik az alacsonyvezetésû köteles komp vezetõ kötelének leeresztett állapotát éjszaka (a kompra elõírt fényeken kívül)? A kompon,a közeledõ hajókról jól látható vörös villogó fénnyel kell jelezni.,a közeledõ hajókról jól látható sárga villogó fénnyel kell jelezni.,a közeledõ hajókról jól látható minden oldalról látható fehér fénnyel kell jelezni.,,3
687,Milyen jelzéssel kéri Balatonon a menetrend szerinti forgalomban közlekedõ komp kikötõben és annak 200 méteres térségében más hajótól közlekedése elõsegítését nappal?,1 db 1-es sárga lobogóval.,1 db 6-os vörös lobogóval.,1 db 2-es zöld lobogóval.,xxx-2214.jpg,3
688,"Hogyan kezdeményezheti a hajóhíd nyitását, ha nem kötelezett rádiótelefon használatára?","A híd telefonszámán, vagy a helyszínen két hosszú hangjel adásával vagy szóban kell kezdeményezni.",Vörös lobogó lengetésével.,Három hosszú hangjelzéssel.,xxx-2186.jpg,1
689,"A helyszínen, milyen hangjelzéssel kezdeményezheti kishajó a hajóhíd nyitását?",Egy hosszú hangjelzéssel lehet kezdeményezni a híd nyitását.,Egy hosszú és egy rövid hangjelzéssel lehet kezdeményezni a híd nyitását.,Két hosszú hangjelzéssel lehet kezdeményezni a híd nyitását.,xxx-2193.jpg,3
690,Tihany rév és Szántód rév között közlekedõ komp útvonala felé hajózik. Mit jelent a zöld lobogót is viselõ komp által leadott egy hosszú hangból álló hangjelzés? A komp,a kikötõben és annak 200 m-es körzetében mûveletezésének elõsegítését kéri.,kikötõbõl kihajózóként élni kíván elsõbbségi jogával.,"azt jelzi, hogy irányváltoztatás nélkül halad tovább.",xxx-3917.jpg,1
691,Mit értünk hajóhíd alatt?,"A hajó vezérlõ központját, ahol a vezetéséhez és irányításhoz szükséges berendezések találhatók (kormányállás).","Úszó létesítményekbõl összeállított olyan nyitható ideiglenes híd, amely a parthoz és a mederhez van rögzítve.","Katonai célú úszó létesítményekbõl összeállított híd, amely ideiglenes átkelésre szolgál.",,2
692,Milyen távolságon belül nem közelítheti meg a zárt hajóhidat? A zárt hajóhidat tilos,100 méternél kisebb távolságra megközelíteni!,50 méternél kisebb távolságra megközelíteni!,150 méternél kisebb távolságra megközelíteni!,xxx-2190.jpg,1
693,Melyik táblával jelzik az alábbiak közül a hajóhidat?,1.,2.,3.,xxx-2204.jpg,1
694,"Milyen szabály vonatkozik egy híd alatti áthajózásra az alábbiak közül? Ha az egyes nyílásokat ajánló jelzésekkel jelölték, a jelzés nélküli",nyílásokon tilos az áthajózás.,nyílásokon a hajó csak a saját kockázatára és felelõsségére hajózhat át.,nyílásokban korlátozott hajóútméretek állnak rendelkezésre.,,2
695,"Nyitható hídhoz közeledve vagy azon való áthaladáskor a Szabályzat és más vonatkozó rendelkezésein kívül, milyen elõírásokat kell betartania?",Kizárólag a Szabályzat elõírásait kell megtartani.,Csak a térségben tartózkodó hajók vezetõinek áthajózásra vonatkozó javaslatait kell figyelembe venni.,Követnie kell a híd kezelõszemélyzetének a hajózás biztonságára és rendjére vonatkozó utasításait.,xxx-1903.jpg,3
696,Hogyan lehet egy nyitható híd alatt áthajózni? A hajó vezetõje az áthaladás szándékát jelzõ hosszú hangjelzést vagy rádiótelefonon történt egyeztetést követõen,köteles követni a híd kezelõszemélyzetének a hajózás biztonságára és rendjére vonatkozóan adott utasításait.,"a lehetõ legkisebb sebességgel áthaladni, amely közben az elõzés tilos!","az áthaladás során egy percenként rádión közölni azonosítóit, helyzetét és sebességét.",xxx-1908.jpg,1
697,"Mit kell tennie nyitható hídhoz közeledve az ábrán látható parti táblát látja és a híd alatt nem tud, vagy nem szándékozik áthaladni?","A jelzés a híd zárt állapotát jelzi, azaz érdeklõdni kell mikor lesz áthajózható.",A tábla elõtt meg kell állni!,Egy hosszú hangjelzést kell leadni!,xxx-1914.jpg,2
698,"Mit jelent, ha a nyitható hídon (vagy annak mindkét oldalán) függõleges vonalban két vörös fényt lát?",Egyidejûleg a kétirányú áthajózás tilos!,A híd nyitása a hajózás számára szünetel.,"Az áthaladás tilos, de az indulásra fel kell készülni!",xxx-1920.jpg,2
699,Mit jelent a nyitható híd két oldalán látható egy-egy vörös fény?,Az áthaladás tilos!,A nyitható híd nyitása a hajózás számára szünetel!,"Az áthaladás tilos, kivéve a kis magasságú hajókat!",xxx-1903.jpg,1
700,"Mit jelent, ha a nyitható híd mindkét oldalán egy vörös és mellette egy zöld fényt lát?","Az áthaladás tilos, kivéve a kis magasságú hajókat!","Az áthaladás szabad, de a híd rövidesen zárásra kerül, a hajóknak be kell fejezniük az áthajózást.","Az áthaladás tilos, de a hajóknak indulásra fel kell készülniük!",xxx-1941.jpg,3
701,"Mit jelent, ha a nyitható híd mindkét oldalán egy vörös és egy sárga fényt lát? A nyitható híd alatti áthaladás","az észlelõ irányából szabad, a másik irányból tilos!","tilos, kivéve a kis magasságú hajókat, melyek áthaladása mindkét irányban megengedett!","tilos, kivéve a kis magasságú hajókat, melyek áthaladása egy irányban megengedett!",xxx-1948.jpg,2
702,"Nyitható hidat közelít meg. Mit jelent, ha annak mindkét oldalán egy vörös és két sárga fényt lát? A nyitható híd alatti áthaladás","az észlelõ irányából tilos, a másik irányból szabad!","tilos, kivéve a kis magasságú hajókat, melyek áthaladása mindkét irányban megengedett!","tilos, kivéve a kis magasságú hajókat, melyek áthaladása egy irányban megengedett!",xxx-1981.jpg,3
703,"Nyitható hidat közelít meg. Mit jelent, ha annak mindkét oldalán egy zöld fényt lát?",Az áthaladás szabad.,Az áthajózás a fények számának megfelelõ számú hajó vagy kötelék számára szabad.,"Egy zöld fénynél fel lehet készülni az áthajózásra, míg két zöld fénynél szabad az áthajózás.",xxx-1908.jpg,1
704,"Mit jelent, ha a duzzasztómû nyílásai felett egy-egy vörös fényt lát?",A duzzasztómû energiatermelésének szüneteltetését jelzik.,Áthaladási tilalmat jeleznek a duzzasztómû átjáró nyílásain!,A duzzasztómû kapujának/kapuinak behelyezésével vagy eltávolításával kapcsolatos munkálatokat jelzik.,xxx-2013.jpg,2
705,"Mit jelent, ha a duzzasztómû átjáró nyílásai felett egy-egy zöld fényt lát?","Az jelzik, hogy az alvízi és felvízi oldal kiegyenlített vízszinten van!","Azt jelzik, hogy a duzzasztómû átjáró nyílásain szabad az áthaladás!","Azt jelzik, hogy a vízeresztés szünetel, rendellenes vízmozgásokra nem kell számítani!",xxx-2012.jpg,2
706,"Milyen magatartási szabály vonatkozik egy zsilip várakozóhelyéhez, illetve a zsiliphez közeledõ hajóra az alábbiak közül?","A várakozóhelyen addig kell várakozni, amíg a zsilip kezelõszemélyzete a továbbhaladásra engedélyt ad",Köteles csökkenteni sebességét és tilos elõzni!,"A kishajók kivételével érkezési sorrend szerint el kell foglalnia az utolsó helyet, az ott várakozó hajók között",,2
707,Milyen elõírás vonatkozik a zsilip várakozóhelyén valamint a zsilipben tartózkodó hajó horgonyára?,Csak mûveletezésre vehetõ igénybe!,Tilos a vízvonal síkja fölé emelni.,Azt teljesen fel kell emelni!,,3
708,Milyen elõírás vonatkozik kishajó zsilipelésére az alábbiak közül?,"A zsilip elõkötõjébõl kötelesek bejelentkezni a zsilip személyzetének, és adatai (kishajó neve, lobogója, hossza, szélessége, hívójele, a kishajón tartózkodó személyek száma) bejelenteni.","A kishajó külön zsilipelésre nem tarthat igényt, az a zsilipszemélyzet értesítése után hajózhat be a zsilipkamrába.","A kishajó elsõként hajózhat be a zsilipbe, és ott a kapuig köteles hajózni.",,2
709,Mi a célja a zsilipkamra falain észlelhetõ (a rajzon sárga vonalakkal ábrázolt) jelzéseknek?,A hajóknak ezek között a határok között kell maradniuk.,A határokon belül a gépi meghajtó berendezéseket már csak alapjáraton szabad járatni.,A határokon belül már kishajók nem tartózkodhatnak.,xxx-2021.jpg,1
710,Milyen elõírás vonatkozik a zsilipben való tartózkodásra az alábbiak közül?,"A zsilipkamra töltése és ürítése alatt a hajót ameddig engedélyt nem kap a kihajózásra ki kell kötni a zsilipkamra falához, a zsilipkapuhoz, védõberendezéshez vagy más hajóhoz.","A zsilipkamra töltése és ürítése alatt a hajót ameddig engedélyt nem kap a kihajózásra ki kell kötni, hogy ne ütközzön a zsilipkamra falához, a zsilipkapuhoz, védõberendezéshez, továbbá más hajóhoz vagy úszóanyagok kötelékéhez.",A zsilipkamra töltése és ürítése alatt a hajóknak tilos egymásra kötniük!,,2
711,Milyen elõírás vonatkozik a zsilipben való tartózkodásra az alábbiak közül?,"A kikötéstõl a kihajózás megkezdéséig a propulziós mûvet a biztonság érdekében alapjáraton kell mûködtetni, leállításuk tilos!",A kikötéstõl a kihajózás megkezdéséig a propulziós mûvet csak a zsilipelés biztonsága érdekében szabad használni.,A kikötéstõl a kihajózás megkezdéséig a propulziós mûvet tilos használni!,,2
712,Milyen elõírás vonatkozik kishajók zsilipben való tartózkodására az alábbiak közül?,Legalább 10 méterrel a más fajtájú (kishajónak nem tekinthetõ) hajó elé kell kikötnie.,"Rá kell kötnie magát más hajóra, hogy a kamrában lévõ vízmozgások hatásából adódó ütközéseket elkerülje.",Más hajótól kellõ távolságot kell tartania!,,3
713,Mi a jelentése a zsilip bejáratánál függõleges vonalban látható két vörös fénynek?,"A behajózás tilos, a zsilip nem üzemel!",A zsilip két egymás utáni kamrából áll és az ellentétes irányú hajózás engedélyezett.,"A behajózás tilos, a zsilip nyitási elõkészület alatt!",teszt-1747.jpg,1
714,"Mi a jelentése, ha zsilip bejáratánál egy vörös fényt lát?","A behajózás tilos, a zsilip nem üzemel!","A behajózás tilos, a zsilip zárva vagy nyitási elõkészület alatt áll!",Egy vörös fény üzemzavart jelez.,teszt-1759.jpg,2
715,"Behajózhat-e a zsilipbe, ha bejáratánál egymás mellett két vörös fényt lát?","Nem, a zsilip még nyitási elõkészület alatt áll!","Nem, a behajózás tilos, a zsilip nem üzemel!","Nem, a behajózás tilos, a zsilip zárva!",xxx-2030.jpg,3
716,"Mit jelent, ha zsilip bejáratánál egymás melletti két vörös fény egyikét lekacsolják (marad egy vörös fény)?","A behajózás tilos, a zsilip nem üzemel!","A behajózás tilos, a zsilip zárva!","Tilos behajózni a zsilipbe, de a zsilip nyitásra elõkészítés alatt áll!",xxx-2035.jpg,3
717,"Behajózhat-e a zsilipbe, ha a bejáratánál egy vörös és mellette egy zöld fényt lát?","Nem, a behajózás tilos, a zsilip zárva!","Nem, a behajózás tilos, a zsilip még nyitási elõkészület alatt áll!","Nem, a behajózás tilos, a zsilip nem üzemel!",xxx-2043.jpg,2
718,"Behajózhat-e a zsilipbe, ha a bejáratánál egy zöld fényt lát?","Igen, a behajózás szabad.","Nem, egy zöld fény fel lehet készülni a behajózásra! Két zöld a behajózás szabad!","Nem, a behajózás tilos, a zsilip még zárva!",xxx-2053.jpg,1
719,"Mit jelent, ha a zsilip kijáratánál egy vörös fényt lát?",A kihajózás tilos!,Készüljön fel a kihajózásra!,"A kihajózás tartósan szünetel, várakozzon!",xxx-2070.jpg,1
720,"Kihajózhat-e a zsilipbõl, ha a kaput már kinyitották, de a kijáratánál mindkét oldalon egy-egy vörös fényt lát?","Nem, mivel a kihajózás engedélyezését két vízszintesen elhelyezett villogó zöld fény jelzi!","Igen, mivel a kihajózás tilalmát két függõlegesen elhelyezett vörös fény jelzi.","Nem, a kihajózás még tilos!",teszt-1787.jpg,3
721,"Kihajózhat-e a zsilipbõl, ha ott egy zöld fényt lát","Nem, mivel a kihajózás engedélyezését két vízszintesen elhelyezett zöld fény jelzi!","Igen, a kihajózás szabad!","Nem, a kihajózás még tilos, mivel a kihajózás engedélyezését egy zöld villogó fény jelzi!",teszt-1796.jpg,2
722,"Mit kell tenni, ha a zsilip fény- vagy tábla jelzései nem mûködnek, jelzések nem észlelhetõk?",A hajóvezetõ csak saját felelõsségére a legnagyobb körültekintéssel haladhat át a zsilipen!,El kell távolodnia mind a zsilip elõ kikötõjébõl és várakozóhelyétõl legalább 500 méter távolságra és ott várakozni!,"Tilos be-, illetve kihajózni a zsilip személyzetének külön engedélye nélkül!",xxx-2165.jpg,3
723,Mikor üzemelnek tavi kikötõk fényjelzései?,Jégmentes idõszakban az illetékes hatóság eltérõ rendelkezése hiányában.,A menetrendi hajók közlekedésének idõszakában.,Hajózási idényben az illetékes hatóság eltérõ rendelkezése hiányában.,,1
724,Milyen módon határozza meg a Szabályzat a kardinális (kitûzõ) jeleket? A kardinális jel,"annak a jobb vagy bal oldalnak a nevét viseli, amellyel ellentétes irányban kell azt kerülni.","égtájak szerint annak a körnegyednek a nevét viseli, amellyel ellentétes irányban kell azt kerülni.","égtájak szerint annak a körnegyednek a nevét viseli, amelyben elhelyezték és amely irány felõl azt kerülni kell.",,3
725,Melyik égtáj szerinti irány felõl kell elhajózni az ábrán látható kardinális jel mellett?,Észak felõl.,Nyugat felõl.,Kelet felõl.,xxx-0376.jpg,1
726,Biztonságra törekedve melyik irány (égtáj) felõl halad el a folytonosan ismétlõdõ gyors vagy nagyon gyors fehér fényjelzést adó jel mellett?,Bármelyik oldalról el lehet a jel(ek) mellett hajózni.,"Északról, a hajóm bal oldala felõl kell elhajózni a jel(ek) mellett.","Délrõl, hajóm jobb oldala felõl kell elhajózni a jel(ek) mellett.",teszt-0375.jpg,2
727,Melyik irány (égtáj) felõl kell elhajózni az ábrán látható kardinális kitûzõ jel mellett?,Észak felõl.,Bármelyik irányból.,Dél felõl.,teszt-0398.jpg,3
728,"Melyik irány (égtáj) felõl kell elhajózni az olyan kardinális kitûzõ jel mellet, amely hat gyors vagy nagyon gyors majd azokat követõ 2 másodperces felvillanásokból álló összetett fehér fényjelzéssel jelez?",Észak felõl.,Bármelyik irányból.,Dél felõl.,xxx-0396.jpg,3
729,Melyik irány (égtáj) felõl kell elhajózni az ábrán látható kardinális kitûzõ jel mellett?,Nyugat felõl.,Bármelyik irányból.,Kelet felõl.,teszt-0368.jpg,1
730,"Melyik irány (égtáj) felõl kell elhaladni az olyan kardinális kitûzõ jel mellet, amely kilenc gyors vagy nagyon gyors felvillanáscsoportból álló összetett fehér fényjelzést ad?",Kelet felõl.,Bármelyik irányból.,Nyugat felõl.,xxx-0405.jpg,3
731,Északról déli irányban hajózik. Melyik irány (égtáj) felõl kell elhajózni az ábrán látható kardinális kitûzõ jel mellett?,Nyugat felõl.,Bármelyik irányból.,Kelet felõl.,teszt-0373.jpg,3
732,"Melyik irány (égtáj) felõl kell elhaladni az olyan kardinális kitûzõ jel mellett, amely három gyors vagy nagyon gyors felvillanáscsoportból álló összetett fehér fényjelzést ad?",Nyugat felõl.,Kelet felõl.,Bármelyik irányból.,teszt-0381.jpg,2
733,Melyik tavi jelzés látható az ábrán?,Északi kardinális.,Különálló veszélyes helyeket jelzõ jel.,"A hajóút tengelyét, biztonságos vizeket jelzõ jel.",xxx-0431.jpg,2
734,Melyik irány felõl lehet elhajózni az ábrán látható tavi jel mellett?,Mindig a hajó bal oldala felõl.,Bármelyik irányból.,Délrõl.,teszt-0387.jpg,2
735,Mit jelez tavon éjszaka a két fehér színû felvillanásból álló fénycsoport?,"A korlátozott rendeltetésû vízterület határait, sarokpontjait jelöli.",A különálló veszélyes helyeket jelöli.,A hajóút tengelyét jelöli.,teszt-0415.jpg,2
736,Melyik irány felõl lehet elhaladni az ábrán látható tavi jel mellett?,A hajó jobb oldala felõl lehet elhajózni mellette.,A hajó bal oldala felõl lehet elhajózni mellette.,Bármely oldalról.,teszt-0414.jpg,3
737,Melyik tavi jel látható az ábrán?,"Meghatározott rendeltetésû vízterületet (pl. vízi sportpálya, horgonyzóhely stb.) jelzõ jel.",Különálló veszélyes helyeket jelzõ jel.,"A hajóút tengelyvonalát, biztonságos vizeket jelzõ jel.",teszt-0419.jpg,3
738,"Válassza ki a meghatározott rendeltetésû terület (pl. vízi sportpálya, horgonyzóhely stb.) határát jelzõ jelet!",1.,2.,3.,teszt-0412.jpg,1
739,Mi a jelentése az ábrán látható tavi jelzéseknek?,Süllyedt hajó vagy egyéb tárgy a jelzések által körülhatárolt területen.,Hajózástól elzárt terület!,"Meghatározott rendeltetésû terület (pl. vízi sportpályát, horgonyzóhelyet stb.).",teszt-0443.jpg,2
